datetime,baseCurrency,termCurrency,normalRate
2026-09-01T00:20:43Z,USD,BDT,122.3850000000
2026-09-01T05:25:58Z,USD,BDT,122.3850000000
2026-09-01T10:19:29Z,USD,BDT,122.3850000000
2026-09-01T15:02:09Z,USD,BDT,122.1860000000
2026-09-01T18:41:48Z,USD,BDT,122.1860000000
2026-09-01T21:33:47Z,USD,BDT,122.1860000000
2026-09-01T23:44:55Z,USD,BDT,122.1860000000
2026-09-02T02:40:04Z,USD,BDT,122.1860000000
2026-09-02T07:34:13Z,USD,BDT,122.1860000000
2026-09-02T12:29:24Z,USD,BDT,122.1860000000
2026-09-02T16:48:30Z,USD,BDT,122.1860000000
2026-09-02T19:36:44Z,USD,BDT,122.1860000000
2026-09-02T22:18:17Z,USD,BDT,122.1860000000
2026-09-03T00:28:15Z,USD,BDT,122.1860000000
2026-09-03T04:53:42Z,USD,BDT,122.1860000000
2026-09-03T09:24:52Z,USD,BDT,122.1860000000
2026-09-03T13:44:37Z,USD,BDT,122.1860000000
2026-09-03T17:28:57Z,USD,BDT,122.1860000000
2026-09-03T20:03:46Z,USD,BDT,122.1860000000
2026-09-03T22:42:19Z,USD,BDT,122.1860000000
2026-09-04T00:41:48Z,USD,BDT,122.1860000000
2026-09-04T05:25:24Z,USD,BDT,122.1860000000
2026-09-04T09:49:54Z,USD,BDT,122.1860000000
2026-09-04T13:57:39Z,USD,BDT,122.1860000000
2026-09-04T17:26:49Z,USD,BDT,122.1860000000
2026-09-04T19:46:47Z,USD,BDT,122.1860000000
2026-09-04T22:03:34Z,USD,BDT,122.1860000000
2026-09-05T00:14:50Z,USD,BDT,122.1860000000
2026-09-05T04:46:22Z,USD,BDT,122.1860000000
2026-09-05T08:46:41Z,USD,BDT,122.1860000000
2026-09-05T12:19:22Z,USD,BDT,122.1860000000
2026-09-05T15:24:38Z,USD,BDT,122.1860000000
2026-09-05T17:26:46Z,USD,BDT,122.1860000000
2026-09-05T19:16:50Z,USD,BDT,122.1860000000
2026-09-05T21:27:47Z,USD,BDT,122.1860000000
2026-09-05T23:09:20Z,USD,BDT,122.1860000000
2026-09-06T01:10:42Z,USD,BDT,122.1860000000
2026-09-06T06:15:01Z,USD,BDT,122.1860000000
2026-09-06T11:11:31Z,USD,BDT,122.1860000000
