datetime,baseCurrency,termCurrency,normalRate
2026-08-01T03:40:38Z,USD,BDT,123.3004000000
2026-08-01T06:24:46Z,USD,BDT,123.3004000000
2026-08-01T08:38:56Z,USD,BDT,123.3004000000
2026-08-01T10:37:44Z,USD,BDT,123.3004000000
2026-08-01T11:59:54Z,USD,BDT,123.3004000000
2026-08-01T13:45:14Z,USD,BDT,123.3004000000
2026-08-01T14:56:26Z,USD,BDT,123.3004000000
2026-08-01T15:59:36Z,USD,BDT,123.3004000000
2026-08-01T17:08:47Z,USD,BDT,123.3004000000
2026-08-01T18:27:45Z,USD,BDT,123.3004000000
2026-08-01T19:43:52Z,USD,BDT,123.3004000000
2026-08-01T20:45:52Z,USD,BDT,123.3004000000
2026-08-01T21:51:07Z,USD,BDT,123.3004000000
2026-08-01T22:50:58Z,USD,BDT,123.3004000000
2026-08-01T23:53:53Z,USD,BDT,123.3004000000
2026-08-02T02:25:45Z,USD,BDT,123.3004000000
2026-08-02T05:40:15Z,USD,BDT,123.3004000000
2026-08-02T08:16:13Z,USD,BDT,123.3004000000
2026-08-02T10:13:18Z,USD,BDT,123.3004000000
2026-08-02T11:40:41Z,USD,BDT,123.3004000000
2026-08-02T13:12:16Z,USD,BDT,123.3004000000
2026-08-02T14:45:57Z,USD,BDT,123.3004000000
2026-08-02T15:57:12Z,USD,BDT,123.3004000000
2026-08-02T17:00:20Z,USD,BDT,123.3004000000
2026-08-02T18:28:19Z,USD,BDT,123.1810000000
2026-08-02T19:43:57Z,USD,BDT,123.1810000000
2026-08-02T20:50:00Z,USD,BDT,123.1810000000
2026-08-02T21:51:15Z,USD,BDT,123.1810000000
2026-08-02T22:51:58Z,USD,BDT,123.1810000000
2026-08-02T23:54:49Z,USD,BDT,123.1810000000
2026-08-03T02:27:56Z,USD,BDT,123.1810000000
2026-08-03T05:57:03Z,USD,BDT,123.1810000000
2026-08-03T09:47:38Z,USD,BDT,123.2307500000
2026-08-03T12:52:40Z,USD,BDT,123.2307500000
2026-08-03T15:40:36Z,USD,BDT,123.2307500000
2026-08-03T17:47:03Z,USD,BDT,123.2307500000
2026-08-03T19:25:08Z,USD,BDT,123.2307500000
2026-08-03T20:42:22Z,USD,BDT,123.1810000000
2026-08-03T22:04:37Z,USD,BDT,123.1810000000
2026-08-03T23:33:45Z,USD,BDT,123.1810000000
2026-08-04T02:07:42Z,USD,BDT,123.1810000000
2026-08-04T05:28:54Z,USD,BDT,123.1810000000
2026-08-04T08:01:59Z,USD,BDT,123.1810000000
2026-08-04T11:01:56Z,USD,BDT,123.1810000000
2026-08-04T13:14:13Z,USD,BDT,123.2208000000
2026-08-04T15:52:44Z,USD,BDT,123.2208000000
2026-08-04T17:42:38Z,USD,BDT,123.2208000000
2026-08-04T19:25:36Z,USD,BDT,123.2208000000
2026-08-04T20:49:34Z,USD,BDT,123.2208000000
2026-08-04T22:07:45Z,USD,BDT,123.2208000000
2026-08-04T23:31:38Z,USD,BDT,123.2208000000
2026-08-05T02:06:56Z,USD,BDT,123.2208000000
2026-08-05T05:28:04Z,USD,BDT,123.2208000000
2026-08-05T08:02:08Z,USD,BDT,123.2208000000
2026-08-05T10:58:32Z,USD,BDT,123.2208000000
2026-08-05T12:57:33Z,USD,BDT,123.2208000000
2026-08-05T15:14:58Z,USD,BDT,123.2208000000
2026-08-05T16:59:47Z,USD,BDT,123.2208000000
2026-08-05T18:39:57Z,USD,BDT,123.2208000000
2026-08-05T20:22:51Z,USD,BDT,123.2208000000
2026-08-05T21:44:29Z,USD,BDT,123.2208000000
2026-08-05T22:54:35Z,USD,BDT,123.2208000000
2026-08-05T23:56:27Z,USD,BDT,123.2208000000
2026-08-06T02:31:32Z,USD,BDT,123.2208000000
2026-08-06T05:44:37Z,USD,BDT,123.2208000000
2026-08-06T08:28:20Z,USD,BDT,123.2208000000
2026-08-06T11:01:17Z,USD,BDT,123.2208000000
2026-08-06T13:08:21Z,USD,BDT,123.2208000000
2026-08-06T15:42:09Z,USD,BDT,123.2208000000
2026-08-06T23:54:01Z,USD,BDT,123.2208000000
2026-08-07T02:28:05Z,USD,BDT,123.2208000000
2026-08-07T04:35:49Z,USD,BDT,123.2208000000
2026-08-07T06:06:29Z,USD,BDT,123.2208000000
2026-08-07T07:50:45Z,USD,BDT,123.2208000000
2026-08-07T08:54:07Z,USD,BDT,123.2208000000
2026-08-07T09:57:18Z,USD,BDT,123.2208000000
2026-08-07T10:53:30Z,USD,BDT,123.2208000000
2026-08-07T11:41:56Z,USD,BDT,123.2208000000
2026-08-07T12:54:04Z,USD,BDT,123.2208000000
2026-08-07T14:09:50Z,USD,BDT,123.2208000000
2026-08-07T15:23:07Z,USD,BDT,123.2208000000
2026-08-07T16:22:04Z,USD,BDT,123.2208000000
2026-08-07T17:20:44Z,USD,BDT,123.2208000000
2026-08-07T18:09:18Z,USD,BDT,123.2208000000
2026-08-07T19:27:14Z,USD,BDT,123.2208000000
2026-08-07T20:05:11Z,USD,BDT,123.2208000000
2026-08-07T21:08:38Z,USD,BDT,123.2208000000
2026-08-07T22:04:20Z,USD,BDT,123.2208000000
2026-08-07T23:03:39Z,USD,BDT,123.2208000000
2026-08-07T23:56:52Z,USD,BDT,123.2208000000
2026-08-08T01:40:26Z,USD,BDT,123.2208000000
2026-08-08T03:20:54Z,USD,BDT,123.2208000000
2026-08-08T04:33:52Z,USD,BDT,123.2208000000
2026-08-08T05:39:16Z,USD,BDT,123.2208000000
2026-08-08T06:43:32Z,USD,BDT,123.2208000000
2026-08-08T07:44:28Z,USD,BDT,123.2208000000
2026-08-08T08:35:02Z,USD,BDT,123.2208000000
2026-08-08T09:32:51Z,USD,BDT,123.2208000000
2026-08-08T10:26:53Z,USD,BDT,123.2208000000
2026-08-08T11:00:24Z,USD,BDT,123.2208000000
2026-08-08T11:52:31Z,USD,BDT,123.2208000000
2026-08-08T12:38:56Z,USD,BDT,123.2208000000
2026-08-08T13:41:12Z,USD,BDT,123.2208000000
2026-08-08T14:27:38Z,USD,BDT,123.2208000000
2026-08-08T14:58:23Z,USD,BDT,123.2208000000
2026-08-08T15:34:23Z,USD,BDT,123.2208000000
2026-08-08T16:27:48Z,USD,BDT,123.2208000000
2026-08-08T17:02:40Z,USD,BDT,123.2208000000
2026-08-08T17:55:40Z,USD,BDT,123.2208000000
2026-08-08T18:33:10Z,USD,BDT,123.2208000000
2026-08-08T19:25:24Z,USD,BDT,123.2208000000
2026-08-08T19:52:11Z,USD,BDT,123.2208000000
2026-08-08T20:24:01Z,USD,BDT,123.2208000000
2026-08-08T20:56:54Z,USD,BDT,123.2208000000
2026-08-08T21:30:39Z,USD,BDT,123.2208000000
2026-08-08T22:23:13Z,USD,BDT,123.2208000000
2026-08-08T22:56:04Z,USD,BDT,123.2208000000
2026-08-08T23:26:46Z,USD,BDT,123.2208000000
2026-08-08T23:54:32Z,USD,BDT,123.2208000000
2026-08-09T01:21:19Z,USD,BDT,123.2208000000
2026-08-09T03:14:10Z,USD,BDT,123.2208000000
2026-08-09T04:44:17Z,USD,BDT,123.2208000000
2026-08-09T05:43:12Z,USD,BDT,123.2208000000
2026-08-09T06:49:18Z,USD,BDT,123.2208000000
2026-08-09T07:50:30Z,USD,BDT,123.2208000000
2026-08-09T08:36:58Z,USD,BDT,123.2208000000
2026-08-09T09:34:36Z,USD,BDT,123.2208000000
2026-08-09T10:29:26Z,USD,BDT,123.2208000000
2026-08-09T11:03:04Z,USD,BDT,123.2208000000
2026-08-09T11:54:15Z,USD,BDT,123.2208000000
