datetime,baseCurrency,termCurrency,normalRate
2025-12-13T10:28:00Z,USD,BDT,121.6735750000
2025-12-13T10:41:23Z,USD,BDT,121.6735750000
2025-12-13T11:13:36Z,USD,BDT,121.6735750000
2025-12-13T11:36:16Z,USD,BDT,121.6735750000
2025-12-13T12:32:48Z,USD,BDT,121.6735750000
2025-12-13T13:24:50Z,USD,BDT,121.6735750000
2025-12-13T13:42:24Z,USD,BDT,121.6735750000
2025-12-13T14:15:13Z,USD,BDT,121.6735750000
2025-12-13T14:39:55Z,USD,BDT,121.6735750000
2025-12-13T15:16:06Z,USD,BDT,121.6735750000
2025-12-13T15:38:46Z,USD,BDT,121.6735750000
2025-12-13T16:20:03Z,USD,BDT,121.6735750000
2025-12-13T16:45:31Z,USD,BDT,121.6735750000
2025-12-13T17:15:10Z,USD,BDT,121.6735750000
2025-12-13T17:38:06Z,USD,BDT,121.6735750000
2025-12-13T18:22:09Z,USD,BDT,121.6735750000
2025-12-13T18:46:29Z,USD,BDT,121.6735750000
2025-12-13T19:13:04Z,USD,BDT,121.6735750000
2025-12-13T19:36:05Z,USD,BDT,121.6735750000
2025-12-13T20:18:16Z,USD,BDT,121.6735750000
2025-12-13T20:40:10Z,USD,BDT,121.6735750000
2025-12-13T21:14:32Z,USD,BDT,121.6735750000
2025-12-13T21:36:42Z,USD,BDT,121.6735750000
2025-12-13T22:15:47Z,USD,BDT,121.6735750000
2025-12-13T22:40:48Z,USD,BDT,121.6735750000
2025-12-13T23:15:18Z,USD,BDT,121.6735750000
2025-12-13T23:38:04Z,USD,BDT,121.6735750000
2025-12-14T01:27:08Z,USD,BDT,121.6735750000
2025-12-14T03:15:31Z,USD,BDT,121.6735750000
2025-12-14T04:10:58Z,USD,BDT,121.6735750000
2025-12-14T04:52:40Z,USD,BDT,121.6735750000
2025-12-14T05:17:15Z,USD,BDT,121.6735750000
2025-12-14T05:41:57Z,USD,BDT,121.6735750000
2025-12-14T06:25:30Z,USD,BDT,121.6735750000
2025-12-14T06:50:44Z,USD,BDT,121.6735750000
2025-12-14T07:16:38Z,USD,BDT,121.6735750000
2025-12-14T07:37:49Z,USD,BDT,121.6735750000
2025-12-14T08:21:46Z,USD,BDT,121.6735750000
2025-12-14T08:45:40Z,USD,BDT,121.6735750000
2025-12-14T09:17:21Z,USD,BDT,121.6735750000
2025-12-14T09:39:29Z,USD,BDT,121.6735750000
2025-12-14T10:17:18Z,USD,BDT,121.6735750000
2025-12-14T10:42:00Z,USD,BDT,121.6735750000
2025-12-14T11:13:57Z,USD,BDT,121.6735750000
2025-12-14T11:36:21Z,USD,BDT,121.6735750000
2025-12-14T12:33:04Z,USD,BDT,121.6735750000
2025-12-14T13:24:56Z,USD,BDT,121.6735750000
2025-12-14T13:43:00Z,USD,BDT,121.6735750000
2025-12-14T14:15:37Z,USD,BDT,121.6735750000
2025-12-14T14:40:18Z,USD,BDT,121.6735750000
2025-12-14T15:16:02Z,USD,BDT,121.6735750000
2025-12-14T15:38:28Z,USD,BDT,121.6735750000
2025-12-14T16:19:43Z,USD,BDT,121.6735750000
2025-12-14T16:44:50Z,USD,BDT,121.6735750000
2025-12-14T17:14:33Z,USD,BDT,121.6735750000
2025-12-14T17:39:13Z,USD,BDT,121.6735750000
2025-12-14T18:23:20Z,USD,BDT,121.6735750000
2025-12-14T18:48:17Z,USD,BDT,121.6735750000
2025-12-14T19:13:21Z,USD,BDT,121.6735750000
2025-12-14T19:36:09Z,USD,BDT,121.6735750000
2025-12-14T20:18:29Z,USD,BDT,121.6735750000
2025-12-14T20:41:23Z,USD,BDT,121.6735750000
2025-12-14T21:15:20Z,USD,BDT,121.6735750000
2025-12-14T21:37:35Z,USD,BDT,121.6735750000
2025-12-14T22:15:41Z,USD,BDT,121.6735750000
2025-12-14T22:40:27Z,USD,BDT,121.6735750000
2025-12-14T23:15:37Z,USD,BDT,121.6735750000
2025-12-14T23:37:50Z,USD,BDT,121.6735750000
2025-12-15T01:24:15Z,USD,BDT,121.6735750000
2025-12-15T03:14:31Z,USD,BDT,121.6735750000
2025-12-15T04:25:54Z,USD,BDT,121.6735750000
2025-12-15T04:57:19Z,USD,BDT,121.6735750000
2025-12-15T05:27:53Z,USD,BDT,121.6735750000
2025-12-15T05:49:16Z,USD,BDT,121.6735750000
2025-12-15T06:30:33Z,USD,BDT,121.6735750000
2025-12-15T07:21:40Z,USD,BDT,121.6735750000
2025-12-15T07:43:45Z,USD,BDT,121.6735750000
2025-12-15T08:56:32Z,USD,BDT,121.6735750000
2025-12-15T09:32:41Z,USD,BDT,121.6735750000
2025-12-15T10:22:11Z,USD,BDT,121.6735750000
2025-12-15T10:50:54Z,USD,BDT,121.6735750000
2025-12-15T11:16:40Z,USD,BDT,121.6735750000
2025-12-15T11:40:27Z,USD,BDT,121.6735750000
2025-12-15T12:40:05Z,USD,BDT,121.6735750000
2025-12-15T13:38:22Z,USD,BDT,121.6735750000
2025-12-15T14:22:22Z,USD,BDT,121.6735750000
2025-12-15T14:52:22Z,USD,BDT,121.6735750000
2025-12-15T15:21:40Z,USD,BDT,121.6735750000
2025-12-15T15:47:53Z,USD,BDT,121.6735750000
2025-12-15T16:26:43Z,USD,BDT,121.6735750000
2025-12-15T16:57:36Z,USD,BDT,121.6735750000
2025-12-15T17:27:13Z,USD,BDT,121.6735750000
2025-12-15T17:48:30Z,USD,BDT,121.6735750000
2025-12-15T18:27:35Z,USD,BDT,121.6735750000
2025-12-15T18:55:26Z,USD,BDT,121.6735750000
2025-12-15T19:18:03Z,USD,BDT,121.6735750000
2025-12-15T19:39:35Z,USD,BDT,121.6735750000
2025-12-15T20:20:22Z,USD,BDT,121.6735750000
2025-12-15T20:45:18Z,USD,BDT,121.6735750000
2025-12-15T21:16:53Z,USD,BDT,121.6735750000
2025-12-15T21:41:09Z,USD,BDT,121.6735750000
2025-12-15T22:17:42Z,USD,BDT,121.6735750000
2025-12-15T22:43:28Z,USD,BDT,121.6735750000
2025-12-15T23:17:17Z,USD,BDT,121.6735750000
2025-12-15T23:40:08Z,USD,BDT,121.6735750000
2025-12-16T01:22:37Z,USD,BDT,121.6735750000
2025-12-16T03:09:09Z,USD,BDT,121.6735750000
2025-12-16T04:08:57Z,USD,BDT,121.6735750000
2025-12-16T04:54:08Z,USD,BDT,121.6735750000
2025-12-16T05:19:55Z,USD,BDT,121.6735750000
2025-12-16T05:45:07Z,USD,BDT,121.6735750000
2025-12-16T06:28:46Z,USD,BDT,121.6735750000
2025-12-16T06:57:18Z,USD,BDT,121.6735750000
2025-12-16T07:25:41Z,USD,BDT,121.6735750000
2025-12-16T07:43:49Z,USD,BDT,121.6735750000
2025-12-16T08:26:10Z,USD,BDT,121.6735750000
2025-12-16T08:53:52Z,USD,BDT,121.6735750000
2025-12-16T09:23:40Z,USD,BDT,121.6735750000
2025-12-16T09:47:28Z,USD,BDT,121.6735750000
2025-12-16T10:21:18Z,USD,BDT,121.6735750000
2025-12-16T10:49:02Z,USD,BDT,121.6735750000
2025-12-16T11:17:05Z,USD,BDT,121.6735750000
2025-12-16T11:40:12Z,USD,BDT,121.6735750000
2025-12-16T12:38:32Z,USD,BDT,121.6735750000
2025-12-16T13:36:21Z,USD,BDT,121.6735750000
2025-12-16T14:21:02Z,USD,BDT,121.6735750000
2025-12-16T14:50:22Z,USD,BDT,121.6735750000
2025-12-16T15:21:05Z,USD,BDT,121.6735750000
2025-12-16T15:47:48Z,USD,BDT,121.6735750000
2025-12-16T16:24:58Z,USD,BDT,121.6735750000
2025-12-16T16:54:18Z,USD,BDT,121.6735750000
2025-12-16T17:21:15Z,USD,BDT,121.6735750000
2025-12-16T17:46:44Z,USD,BDT,121.6735750000
2025-12-16T18:27:18Z,USD,BDT,121.6735750000
2025-12-16T18:55:10Z,USD,BDT,121.6735750000
2025-12-16T19:17:19Z,USD,BDT,121.6735750000
2025-12-16T19:38:34Z,USD,BDT,121.6735750000
2025-12-16T20:20:47Z,USD,BDT,121.6735750000
2025-12-16T20:44:46Z,USD,BDT,121.6735750000
2025-12-16T21:18:04Z,USD,BDT,121.6735750000
2025-12-16T21:40:33Z,USD,BDT,121.6735750000
2025-12-16T22:17:26Z,USD,BDT,121.6735750000
2025-12-16T22:41:55Z,USD,BDT,121.6735750000
2025-12-16T23:16:35Z,USD,BDT,121.6735750000
2025-12-16T23:39:36Z,USD,BDT,121.6735750000
2025-12-17T01:17:34Z,USD,BDT,121.6735750000
2025-12-17T03:05:10Z,USD,BDT,121.6735750000
2025-12-17T04:05:18Z,USD,BDT,121.6735750000
2025-12-17T04:52:12Z,USD,BDT,121.6735750000
2025-12-17T05:19:51Z,USD,BDT,121.6735750000
2025-12-17T05:44:52Z,USD,BDT,121.6735750000
2025-12-17T06:28:20Z,USD,BDT,121.6735750000
2025-12-17T06:56:29Z,USD,BDT,121.6735750000
2025-12-17T07:22:52Z,USD,BDT,121.6735750000
2025-12-17T07:42:44Z,USD,BDT,121.6735750000
2025-12-17T08:26:02Z,USD,BDT,121.6735750000
2025-12-17T08:53:22Z,USD,BDT,121.6735750000
2025-12-17T09:24:41Z,USD,BDT,121.6735750000
2025-12-17T09:47:57Z,USD,BDT,121.6735750000
2025-12-17T10:21:07Z,USD,BDT,121.6735750000
2025-12-17T10:47:57Z,USD,BDT,121.6735750000
2025-12-17T11:17:06Z,USD,BDT,121.6735750000
2025-12-17T11:39:55Z,USD,BDT,121.6735750000
2025-12-17T12:38:17Z,USD,BDT,121.6934750000
2025-12-17T13:31:29Z,USD,BDT,121.6934750000
2025-12-17T14:19:06Z,USD,BDT,121.6934750000
2025-12-17T14:49:04Z,USD,BDT,121.6934750000
2025-12-17T15:20:06Z,USD,BDT,121.6934750000
2025-12-17T15:45:55Z,USD,BDT,121.6934750000
2025-12-17T16:24:11Z,USD,BDT,121.6934750000
2025-12-17T16:53:10Z,USD,BDT,121.6934750000
2025-12-17T17:21:04Z,USD,BDT,121.6934750000
2025-12-17T17:45:40Z,USD,BDT,121.6934750000
2025-12-17T18:27:47Z,USD,BDT,121.6934750000
2025-12-17T18:55:42Z,USD,BDT,121.6934750000
2025-12-17T19:18:12Z,USD,BDT,121.6934750000
2025-12-17T19:38:47Z,USD,BDT,121.6934750000
2025-12-17T20:20:37Z,USD,BDT,121.6934750000
2025-12-17T20:44:56Z,USD,BDT,121.6934750000
2025-12-17T21:17:46Z,USD,BDT,121.6934750000
2025-12-17T21:40:48Z,USD,BDT,121.6934750000
2025-12-17T22:17:06Z,USD,BDT,121.6934750000
