datetime,baseCurrency,termCurrency,normalRate
2026-05-01T02:44:41Z,USD,BDT,122.2457000000
2026-05-01T06:13:13Z,USD,BDT,122.2457000000
2026-05-01T08:27:53Z,USD,BDT,122.2457000000
2026-05-01T10:06:06Z,USD,BDT,122.2457000000
2026-05-01T11:37:09Z,USD,BDT,122.2457000000
2026-05-01T13:12:39Z,USD,BDT,122.2457000000
2026-05-01T14:35:44Z,USD,BDT,122.2457000000
2026-05-01T15:54:34Z,USD,BDT,122.2457000000
2026-05-01T16:54:08Z,USD,BDT,122.2457000000
2026-05-01T17:56:54Z,USD,BDT,122.2457000000
2026-05-01T19:13:43Z,USD,BDT,122.2457000000
2026-05-01T20:14:02Z,USD,BDT,122.2457000000
2026-05-01T21:13:04Z,USD,BDT,122.2457000000
2026-05-01T22:10:49Z,USD,BDT,122.2457000000
2026-05-01T23:24:52Z,USD,BDT,122.2457000000
2026-05-02T00:11:35Z,USD,BDT,122.2457000000
2026-05-02T03:58:06Z,USD,BDT,122.2457000000
2026-05-02T06:10:13Z,USD,BDT,122.2457000000
2026-05-02T08:05:26Z,USD,BDT,122.2357500000
2026-05-02T09:39:33Z,USD,BDT,122.2357500000
2026-05-02T10:47:05Z,USD,BDT,122.2357500000
2026-05-02T11:41:29Z,USD,BDT,122.2357500000
2026-05-02T13:03:05Z,USD,BDT,122.2357500000
2026-05-02T14:28:25Z,USD,BDT,122.2357500000
2026-05-02T15:11:41Z,USD,BDT,122.2357500000
2026-05-02T16:08:02Z,USD,BDT,122.2357500000
2026-05-02T17:12:44Z,USD,BDT,122.2357500000
2026-05-02T18:07:54Z,USD,BDT,122.2357500000
2026-05-02T19:32:34Z,USD,BDT,122.2357500000
2026-05-02T20:37:26Z,USD,BDT,122.2357500000
2026-05-02T21:36:53Z,USD,BDT,122.2357500000
2026-05-02T22:36:36Z,USD,BDT,122.2357500000
2026-05-02T23:39:00Z,USD,BDT,122.2357500000
2026-05-03T02:36:16Z,USD,BDT,122.2357500000
2026-05-03T05:55:10Z,USD,BDT,122.2357500000
2026-05-03T07:57:36Z,USD,BDT,122.2357500000
2026-05-03T09:23:27Z,USD,BDT,122.2357500000
2026-05-03T10:30:10Z,USD,BDT,122.2357500000
2026-05-03T11:21:38Z,USD,BDT,122.2357500000
2026-05-03T12:04:54Z,USD,BDT,122.2357500000
2026-05-03T13:53:25Z,USD,BDT,122.2357500000
2026-05-03T14:44:26Z,USD,BDT,122.2357500000
2026-05-03T15:42:51Z,USD,BDT,122.2357500000
2026-05-03T16:43:43Z,USD,BDT,122.2357500000
2026-05-03T17:43:05Z,USD,BDT,122.2357500000
2026-05-03T18:54:42Z,USD,BDT,122.1362500000
2026-05-03T19:53:04Z,USD,BDT,122.0964500000
2026-05-03T20:38:32Z,USD,BDT,122.0964500000
2026-05-03T21:38:03Z,USD,BDT,122.0964500000
2026-05-03T22:36:38Z,USD,BDT,122.0964500000
2026-05-03T23:40:27Z,USD,BDT,122.0964500000
2026-05-04T02:34:15Z,USD,BDT,122.0964500000
2026-05-04T06:08:55Z,USD,BDT,122.0964500000
2026-05-04T09:01:48Z,USD,BDT,122.0964500000
2026-05-04T11:20:25Z,USD,BDT,122.0964500000
2026-05-04T13:05:23Z,USD,BDT,122.0964500000
2026-05-04T15:28:28Z,USD,BDT,122.0964500000
2026-05-04T17:11:45Z,USD,BDT,122.0964500000
2026-05-04T19:02:02Z,USD,BDT,122.0964500000
2026-05-04T20:45:52Z,USD,BDT,122.0964500000
2026-05-04T21:56:49Z,USD,BDT,122.0964500000
2026-05-04T22:57:18Z,USD,BDT,122.0964500000
2026-05-04T23:55:28Z,USD,BDT,122.0964500000
2026-05-05T02:31:57Z,USD,BDT,122.0964500000
2026-05-05T05:39:42Z,USD,BDT,122.0964500000
2026-05-05T08:03:46Z,USD,BDT,122.0964500000
2026-05-05T10:16:36Z,USD,BDT,122.0964500000
2026-05-05T11:46:35Z,USD,BDT,122.0964500000
2026-05-05T15:58:41Z,USD,BDT,122.0964500000
2026-05-05T17:20:11Z,USD,BDT,122.0964500000
2026-05-05T18:51:53Z,USD,BDT,122.0964500000
2026-05-05T20:04:16Z,USD,BDT,122.0964500000
2026-05-05T21:34:05Z,USD,BDT,122.0964500000
2026-05-05T22:52:19Z,USD,BDT,122.0964500000
2026-05-05T23:43:57Z,USD,BDT,122.0964500000
2026-05-06T02:33:01Z,USD,BDT,122.0964500000
2026-05-06T05:54:05Z,USD,BDT,122.0964500000
2026-05-06T10:31:49Z,USD,BDT,122.0964500000
2026-05-06T12:25:41Z,USD,BDT,122.0964500000
2026-05-06T15:09:55Z,USD,BDT,122.0964500000
2026-05-06T16:59:48Z,USD,BDT,122.0964500000
2026-05-06T18:25:29Z,USD,BDT,122.0964500000
2026-05-06T20:08:40Z,USD,BDT,122.0964500000
2026-05-06T21:38:54Z,USD,BDT,122.0964500000
2026-05-06T22:48:03Z,USD,BDT,122.0964500000
2026-05-06T23:46:11Z,USD,BDT,122.0964500000
2026-05-07T02:35:06Z,USD,BDT,122.0964500000
2026-05-07T05:58:30Z,USD,BDT,122.0964500000
2026-05-07T08:41:39Z,USD,BDT,122.0964500000
2026-05-07T11:07:06Z,USD,BDT,122.0964500000
2026-05-07T13:14:22Z,USD,BDT,122.1860000000
2026-05-07T15:41:15Z,USD,BDT,122.1860000000
2026-05-07T17:44:39Z,USD,BDT,122.1860000000
2026-05-07T19:39:26Z,USD,BDT,122.1860000000
2026-05-07T21:01:17Z,USD,BDT,122.1860000000
2026-05-07T22:33:30Z,USD,BDT,122.1860000000
2026-05-07T23:50:27Z,USD,BDT,122.1860000000
2026-05-08T02:40:56Z,USD,BDT,122.1860000000
2026-05-08T05:27:51Z,USD,BDT,122.1860000000
2026-05-08T07:06:10Z,USD,BDT,122.1860000000
2026-05-08T08:54:04Z,USD,BDT,122.1860000000
2026-05-08T10:21:27Z,USD,BDT,122.1860000000
2026-05-08T11:52:08Z,USD,BDT,122.1860000000
2026-05-08T13:25:11Z,USD,BDT,122.1860000000
2026-05-08T15:07:03Z,USD,BDT,122.1860000000
2026-05-08T16:49:39Z,USD,BDT,122.1860000000
2026-05-08T18:06:51Z,USD,BDT,122.1860000000
2026-05-08T19:52:42Z,USD,BDT,122.1860000000
2026-05-08T20:56:01Z,USD,BDT,122.1860000000
2026-05-08T21:58:09Z,USD,BDT,122.1860000000
2026-05-08T22:59:38Z,USD,BDT,122.1860000000
2026-05-09T00:02:30Z,USD,BDT,122.1860000000
2026-05-09T04:01:58Z,USD,BDT,122.1860000000
2026-05-09T06:31:32Z,USD,BDT,122.1860000000
2026-05-09T08:24:30Z,USD,BDT,122.1860000000
2026-05-09T09:51:12Z,USD,BDT,122.1860000000
2026-05-09T10:54:27Z,USD,BDT,122.1860000000
2026-05-09T11:48:02Z,USD,BDT,122.1860000000
2026-05-09T13:09:36Z,USD,BDT,122.1860000000
2026-05-09T14:33:28Z,USD,BDT,122.1860000000
2026-05-09T15:47:29Z,USD,BDT,122.1860000000
2026-05-09T16:51:05Z,USD,BDT,122.1860000000
2026-05-09T17:46:05Z,USD,BDT,122.1860000000
2026-05-09T18:55:33Z,USD,BDT,122.1860000000
2026-05-09T19:56:00Z,USD,BDT,122.1860000000
2026-05-09T20:41:08Z,USD,BDT,122.1860000000
2026-05-09T21:39:24Z,USD,BDT,122.1860000000
2026-05-09T22:38:56Z,USD,BDT,122.1860000000
2026-05-09T23:43:05Z,USD,BDT,122.1860000000
2026-05-10T02:38:40Z,USD,BDT,122.1860000000
2026-05-10T06:07:40Z,USD,BDT,122.1860000000
2026-05-10T08:25:18Z,USD,BDT,122.1362500000
2026-05-10T09:52:15Z,USD,BDT,122.1362500000
2026-05-10T10:57:52Z,USD,BDT,122.1362500000
2026-05-10T11:55:11Z,USD,BDT,122.1362500000
2026-05-10T13:10:55Z,USD,BDT,122.1362500000
2026-05-10T14:34:49Z,USD,BDT,122.1362500000
2026-05-10T15:50:14Z,USD,BDT,122.1362500000
2026-05-10T16:51:29Z,USD,BDT,122.1362500000
2026-05-10T17:48:21Z,USD,BDT,122.1362500000
2026-05-10T18:57:16Z,USD,BDT,122.1362500000
2026-05-10T19:58:39Z,USD,BDT,122.1362500000
2026-05-10T20:55:42Z,USD,BDT,122.1362500000
2026-05-10T21:44:40Z,USD,BDT,122.1362500000
2026-05-10T22:42:03Z,USD,BDT,122.1362500000
2026-05-10T23:49:10Z,USD,BDT,122.1362500000
2026-05-11T02:48:35Z,USD,BDT,122.1362500000
2026-05-11T06:36:26Z,USD,BDT,122.1362500000
2026-05-11T10:35:03Z,USD,BDT,122.1362500000
2026-05-11T13:45:08Z,USD,BDT,122.1561500000
2026-05-11T16:30:05Z,USD,BDT,122.1561500000
2026-05-11T18:18:47Z,USD,BDT,122.1561500000
2026-05-11T20:14:20Z,USD,BDT,122.1561500000
2026-05-11T21:48:27Z,USD,BDT,122.1561500000
2026-05-11T22:50:38Z,USD,BDT,122.1561500000
2026-05-11T23:54:50Z,USD,BDT,122.1561500000
2026-05-12T02:40:52Z,USD,BDT,122.1561500000
2026-05-12T06:11:55Z,USD,BDT,122.1561500000
2026-05-12T09:17:23Z,USD,BDT,122.1561500000
2026-05-12T11:29:38Z,USD,BDT,122.1561500000
2026-05-12T13:20:26Z,USD,BDT,122.1362500000
2026-05-12T15:59:22Z,USD,BDT,122.1362500000
2026-05-12T18:06:28Z,USD,BDT,122.1362500000
2026-05-12T20:13:33Z,USD,BDT,122.1362500000
2026-05-12T21:48:02Z,USD,BDT,122.1362500000
2026-05-12T22:56:57Z,USD,BDT,122.1362500000
2026-05-12T23:59:40Z,USD,BDT,122.1362500000
2026-05-13T04:06:33Z,USD,BDT,122.1362500000
2026-05-13T07:35:48Z,USD,BDT,122.1362500000
2026-05-13T10:22:01Z,USD,BDT,122.1362500000
2026-05-13T12:26:44Z,USD,BDT,122.1362500000
2026-05-13T15:23:26Z,USD,BDT,122.1362500000
2026-05-13T17:32:56Z,USD,BDT,122.1362500000
2026-05-13T19:49:38Z,USD,BDT,122.1362500000
2026-05-13T21:23:32Z,USD,BDT,122.1362500000
2026-05-13T22:43:47Z,USD,BDT,122.1362500000
2026-05-13T23:53:29Z,USD,BDT,122.1362500000
2026-05-14T02:48:19Z,USD,BDT,122.1362500000
2026-05-14T06:21:59Z,USD,BDT,122.1362500000
2026-05-14T09:13:14Z,USD,BDT,122.1362500000
2026-05-14T11:24:39Z,USD,BDT,122.1362500000
2026-05-14T13:12:55Z,USD,BDT,122.1362500000
2026-05-14T15:39:30Z,USD,BDT,122.1362500000
2026-05-14T17:46:26Z,USD,BDT,122.1362500000
2026-05-14T19:41:41Z,USD,BDT,122.1362500000
2026-05-14T21:06:38Z,USD,BDT,122.1362500000
2026-05-14T22:35:20Z,USD,BDT,122.1362500000
2026-05-14T23:54:25Z,USD,BDT,122.1362500000
2026-05-15T02:49:09Z,USD,BDT,122.1362500000
2026-05-15T06:31:20Z,USD,BDT,122.1362500000
2026-05-15T09:44:24Z,USD,BDT,122.1362500000
2026-05-15T11:52:09Z,USD,BDT,122.1362500000
2026-05-15T13:58:48Z,USD,BDT,122.1362500000
2026-05-15T16:05:44Z,USD,BDT,122.1362500000
2026-05-15T17:59:44Z,USD,BDT,122.1362500000
2026-05-15T19:48:32Z,USD,BDT,122.1362500000
2026-05-15T20:56:49Z,USD,BDT,122.1362500000
2026-05-15T21:59:33Z,USD,BDT,122.1362500000
2026-05-15T23:03:31Z,USD,BDT,122.1362500000
2026-05-16T00:13:37Z,USD,BDT,122.1362500000
2026-05-16T04:08:08Z,USD,BDT,122.1362500000
2026-05-16T06:39:45Z,USD,BDT,122.1362500000
2026-05-16T08:45:56Z,USD,BDT,122.1362500000
2026-05-16T10:11:20Z,USD,BDT,122.1362500000
2026-05-16T11:30:32Z,USD,BDT,122.1362500000
2026-05-16T13:14:42Z,USD,BDT,122.1362500000
2026-05-16T14:38:46Z,USD,BDT,122.1362500000
2026-05-16T15:55:07Z,USD,BDT,122.1362500000
2026-05-16T16:55:33Z,USD,BDT,122.1362500000
2026-05-16T17:54:03Z,USD,BDT,122.1362500000
2026-05-16T18:59:08Z,USD,BDT,122.1362500000
2026-05-16T20:03:38Z,USD,BDT,122.1362500000
2026-05-16T21:09:45Z,USD,BDT,122.1362500000
2026-05-16T22:09:17Z,USD,BDT,122.1362500000
2026-05-16T23:24:42Z,USD,BDT,122.1362500000
2026-05-17T00:13:05Z,USD,BDT,122.1362500000
2026-05-17T04:37:32Z,USD,BDT,122.1362500000
2026-05-17T07:31:01Z,USD,BDT,122.1362500000
2026-05-17T09:43:55Z,USD,BDT,122.1362500000
2026-05-17T11:01:45Z,USD,BDT,122.1362500000
2026-05-17T12:10:21Z,USD,BDT,122.1362500000
2026-05-17T14:02:12Z,USD,BDT,122.1362500000
2026-05-17T15:35:45Z,USD,BDT,122.1362500000
2026-05-17T16:54:03Z,USD,BDT,122.1362500000
2026-05-17T17:55:34Z,USD,BDT,122.1362500000
2026-05-17T19:05:11Z,USD,BDT,122.1362500000
2026-05-17T20:11:40Z,USD,BDT,122.1362500000
2026-05-17T21:24:54Z,USD,BDT,122.1362500000
2026-05-17T22:13:11Z,USD,BDT,122.1362500000
2026-05-17T23:28:25Z,USD,BDT,122.1362500000
2026-05-18T01:28:22Z,USD,BDT,122.1362500000
2026-05-18T05:46:58Z,USD,BDT,122.1362500000
2026-05-18T09:55:10Z,USD,BDT,122.1163500000
2026-05-18T13:42:20Z,USD,BDT,122.1163500000
2026-05-18T16:44:54Z,USD,BDT,122.1163500000
2026-05-18T18:28:36Z,USD,BDT,122.1163500000
2026-05-18T20:14:41Z,USD,BDT,122.1163500000
2026-05-18T21:44:58Z,USD,BDT,122.1163500000
2026-05-18T22:57:34Z,USD,BDT,122.1163500000
2026-05-19T00:10:29Z,USD,BDT,122.1163500000
2026-05-19T04:40:19Z,USD,BDT,122.1163500000
2026-05-19T08:23:55Z,USD,BDT,122.1163500000
2026-05-19T11:37:51Z,USD,BDT,122.1163500000
2026-05-19T14:53:26Z,USD,BDT,122.1163500000
2026-05-19T17:36:13Z,USD,BDT,122.1163500000
2026-05-19T19:48:06Z,USD,BDT,122.1064000000
2026-05-19T21:16:06Z,USD,BDT,122.1064000000
2026-05-19T22:43:18Z,USD,BDT,122.1064000000
2026-05-20T00:00:25Z,USD,BDT,122.1064000000
2026-05-20T04:44:09Z,USD,BDT,122.1064000000
2026-05-20T08:22:54Z,USD,BDT,122.1064000000
2026-05-20T11:25:17Z,USD,BDT,122.1064000000
2026-05-20T14:03:00Z,USD,BDT,122.1064000000
2026-05-20T17:38:09Z,USD,BDT,122.1064000000
2026-05-20T20:09:37Z,USD,BDT,122.1064000000
2026-05-20T22:09:21Z,USD,BDT,122.1064000000
2026-05-20T23:46:49Z,USD,BDT,122.1064000000
2026-05-21T02:56:51Z,USD,BDT,122.1064000000
2026-05-21T06:53:48Z,USD,BDT,122.1064000000
2026-05-21T10:37:24Z,USD,BDT,122.1064000000
2026-05-21T14:11:56Z,USD,BDT,122.1064000000
2026-05-21T17:10:49Z,USD,BDT,122.1064000000
2026-05-21T19:24:13Z,USD,BDT,122.1064000000
2026-05-21T21:10:03Z,USD,BDT,122.1064000000
2026-05-21T22:47:53Z,USD,BDT,122.1064000000
2026-05-21T23:59:09Z,USD,BDT,122.1064000000
2026-05-22T04:18:39Z,USD,BDT,122.1064000000
2026-05-22T07:57:20Z,USD,BDT,122.1064000000
2026-05-22T10:52:38Z,USD,BDT,122.1064000000
2026-05-22T13:28:00Z,USD,BDT,122.1064000000
2026-05-22T16:01:31Z,USD,BDT,122.1064000000
2026-05-22T18:13:28Z,USD,BDT,122.1064000000
2026-05-22T20:17:49Z,USD,BDT,122.1064000000
2026-05-22T21:41:01Z,USD,BDT,122.1064000000
2026-05-22T22:54:41Z,USD,BDT,122.1064000000
2026-05-23T00:03:28Z,USD,BDT,122.1064000000
